formula,Egap
Ga1S1,1.71
Cl1H3O5,5.2712
O2V1,0.8390000000000001
I3Pb2S2Sb1,1.7673
Ga1H4K1,4.9813
Hg3Te4Tl2,0.4721
Hg1I2,1.1852
O1Pb1,1.6621
F9O1Re1Sb1,1.8981
Fe5O12Si3,1.9058
Cu2K1S4V1,1.3382
C4Cd2H12O14,3.5679
O9P3Sc1,5.4608
I12Pt1Tb7,0.1354
Se1,0.9708
Cd1I2,2.3708
Ba3Ir2O9Sr1,0.1945
Al1Li1Si1,0.113
Cl2Co5O12Se4,3.2502
Rb3Sb1Se4,1.3257
Be2Ge1La2O7,4.0034
Ba1Cu1Er2O5,1.4443
Br9Rb3Sb2,1.9091
Br4Rb2Zn1,3.7661
Co1La1O3,0.0991
C6Co1Cr1H18N12,0.7784
Br1Cr1S1,0.7609999999999999
Dy1Li1O2,4.5771
O3Pr2,3.1722
Ca1Mn1O6Si2,3.3196
C2F6N4O6S8,1.2429
Co1S1Sb1,0.3766
Ag2Mo1O4,2.733
Bi2Cl1O4Y1,1.3543
Li16N8Nb2O1,3.3945
B2K3Nb3O12,2.3678
O2Ru1,1.4858
In1Li1O6Si2,3.7395
Ba1O3Ti1,2.1328
Al1C3Cl6N3,2.5356
Mg2P2Se6,2.0273
H2O4Se1,3.3563
Ba1F4Zn1,5.7228
Ga1O4P1,4.5455
As2Cd1Ge1,0.0342
C1F1K1O3Sr1,4.0697
C6Fe1K3N6,2.6016
B1Fe3O6,1.5837
Pt1Rb2Se2,1.3554
Ag2Cr2O7,2.0906
Na2Nb4O11,2.9536
O3W1,0.7364
Co1Na4O3,1.4593
Co1Li1N2Sr2,0.9254
Al3C3Sc1,0.3017
Te1Zn1,1.4766
As1F5N4S4,1.7515
Ge1In7Ir1O8,0.4535
K0.33Mo1O3,0.7313
C4F3H14N1O2V1,0.047
Sb2Te3,0.1061
Ag3O4Sb1,0.2417
La1O4V1,1.0965
O2Ti1,2.2658
Bi1Cl1O3Se1,3.5704
Ge1Mg1O3,2.4363
As1Ga1O4,3.1046
C2H6O12U2,3.1609
H2La1N1O7S1,1.4994
As1Na3,0.1506
Mg3Sb2,0.2136
Cu1O3Se1,1.1418
Na1Nb1O3,1.8362
S1Zn1,2.6996
Fe1Mo2S4,0.1421
Lu1Na1O8Pd6,0.1052
Eu1Se1,0.8455
F6Rb2U1,3.5713
Au1F4Na1,2.6195
S2W1,1.3661
Al2O3,5.8481
Br1Fe1O7Te3,1.7728
Eu1O3Ti1,0.7569
Al6Cl2Na8O24Si6,4.6772
P1,0.1394
K1Nb1O3,1.7303
C2N2,4.7918
As1Ca1Co1H1O5,2.3812
Bi2Fe4O9,1.6087
O2Zr1,3.125
Cu1O2Rh1,1.5605
Mn4O7Si1,1.206
Gd3O12Sb5,3.1034
Be2O4Si1,5.8215
Al1La1O3,3.6385
Bi1Rb1,0.3931
