split,r2_train,mae_train,rmse_train,r2_val,mae_val,rmse_val
0,0.5817482418092844,0.7628382554307386,0.9371617587880409,0.5152881333465402,0.7996304378755402,1.0017194627641537
1,0.5982505298985137,0.7672319735909978,0.9201586886425589,0.5332234477937369,0.7915058986345787,0.9830119598596428
2,0.5890127697271413,0.7619883668529109,0.9199671350754505,0.5210035117719827,0.8070481578751115,0.9957961675741545
3,0.5847284259619503,0.7683097611399643,0.9286800471335092,0.5292961581967992,0.7924735828366781,0.987138652000891
4,0.5461360467266152,0.7887838839865495,0.9592491973889475,0.49982361094350114,0.8238109522214561,1.0175737129101838
5,0.5601765893335426,0.787107460318,0.9581714465588035,0.5165051682825986,0.8095269949816514,1.0004610927017827
6,0.5931690606183726,0.7637451210309748,0.9239266101019301,0.5279756212055611,0.7949837298164302,0.9885223672015027
7,0.5851654845000326,0.7661611065177603,0.9271610363900847,0.5220078287841412,0.803395563171945,0.9947516715975775
8,0.5530354891608484,0.7970911428519852,0.9657995679302908,0.49750360397285887,0.8264324367674127,1.0199309282287576
9,0.5620045312611553,0.7901005351863788,0.9565758889551381,0.5106823150637285,0.8172155233305328,1.0064674684957675
